assembly	biosample	bioproject	illumina_run	nanopore_run	collection_date	location	host_sex	disease	notes
assembly1	-	-	-	-	-	-	-	-	-
assembly2	-	-	-	-	-	-	-	-	-
assembly3	-	-	-	-	-	-	-	-	-
assembly4	-	-	-	-	-	-	-	-	-
assembly5	-	-	-	-	-	-	-	-	-
assembly6	-	-	-	-	-	-	-	-	-
assembly7	-	-	-	-	-	-	-	-	-
assembly8	-	-	-	-	-	-	-	-	-
assembly9	-	-	-	-	-	-	-	-	-
assembly10	-	-	-	-	-	-	-	-	-
assembly11	-	-	-	-	-	-	-	-	-
assembly12	-	-	-	-	-	-	-	-	-
assembly13	-	-	-	-	-	-	-	-	-
